TRAFFIC_TIMESTAMP,TRAFFIC_START_TIME,TRAFFIC_END_TIME,TRAFFIC_ITEM_ID,TRAFFIC_ITEM_TYPE_DESC,CRITICALITY_DESCRIPTION,GEOLOC_ORIGIN_LATITUDE,GEOLOC_ORIGIN_LONGITUDE,GEOLOC_TO_LATITUDE,GEOLOC_TO_LONGITUDE
04/29/2022 17:06:44 GMT,02/15/2022 18:15:51,04/30/2022 14:00:00,1811709051429817663,ROAD_CLOSURE,critical,32.85119,-96.58666,32.85295,-96.58688
04/29/2022 17:06:44 GMT,05/18/2021 15:58:30,05/03/2022 01:30:00,380286870254033751,ROAD_CLOSURE,critical,32.74624,-96.75827,32.74963,-96.76116
04/29/2022 17:06:44 GMT,02/15/2022 18:15:51,04/30/2022 17:00:00,2052221062445050067,ROAD_CLOSURE,critical,32.76097,-96.81566,32.761,-96.81311
04/29/2022 17:06:44 GMT,04/29/2022 14:00:00,04/29/2022 20:00:00,3843291236781055365,CONSTRUCTION,minor,32.929941,-96.803561,32.9325,-96.80353
04/29/2022 17:06:44 GMT,04/29/2022 17:01:46,04/29/2022 17:16:16,2953352377627010084,CONGESTION,minor,32.89448,-96.89766,32.89595,-96.89764
04/29/2022 17:06:44 GMT,02/15/2022 18:15:51,04/30/2022 11:59:00,3327450985045603960,ROAD_CLOSURE,critical,32.78473,-96.79274,32.78518,-96.79347
04/29/2022 17:06:44 GMT,04/29/2022 16:42:58,04/29/2022 17:12:58,4233058546937787232,CONGESTION,minor,32.76933,-96.77743,32.77481,-96.77853
04/29/2022 17:06:44 GMT,02/15/2022 18:15:51,04/30/2022 11:59:00,1509302708335171400,CONSTRUCTION,critical,32.78389,-96.79173,32.78343,-96.79352
04/29/2022 17:06:44 GMT,04/27/2022 17:56:52,04/29/2022 17:57:02,1482640994682178128,CONSTRUCTION,minor,32.76444,-96.80672,32.68226,-96.82311
04/29/2022 17:06:44 GMT,04/29/2022 16:58:57,04/29/2022 17:13:57,2180942988743975155,CONGESTION,minor,32.79659,-96.81604,32.79397,-96.81472
04/29/2022 17:06:44 GMT,04/11/2022 14:00:00,04/29/2022 20:30:00,1972737694963246677,CONSTRUCTION,minor,32.63704,-96.77669,32.6273,-96.77196
04/29/2022 17:06:44 GMT,02/15/2022 18:15:51,04/30/2022 13:00:00,4080093423330922102,ROAD_CLOSURE,critical,32.91618,-96.86905,32.91489,-96.86737
04/29/2022 17:06:44 GMT,02/15/2022 18:15:51,04/30/2022 11:59:00,1026410736838726685,ROAD_CLOSURE,critical,32.91312,-96.88166,32.915,-96.8733
04/29/2022 17:06:44 GMT,02/15/2022 18:15:51,04/30/2022 14:00:00,999834502955691593,ROAD_CLOSURE,critical,32.91369,-96.87733,32.91273,-96.8771
04/29/2022 17:06:44 GMT,02/15/2022 18:15:51,04/30/2022 14:00:00,4266155418573783627,CONSTRUCTION,critical,32.798207,-96.809646,32.79712,-96.80834
